,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,운영요일,latitude,longitude
0,농수산물도매시장,공영,부설,권선구 세권로 243(권선동),권선구 세권로 243(권선동),748,연중무휴,37.2550510940979,127.030470452608
1,선경도서관,공영,부설,팔달구 신풍로 23번길 68(신풍동),팔달구 신풍로 23번길 68(신풍동),65,연중무휴,37.2838622883287,127.010432152228
3,시청2부설(의회부지),공영,부설,팔달구 효원로 241(인계동),팔달구 효원로 241(인계동),241,연중무휴,37.2634535000704,127.028662073932
4,시청별관,공영,부설,팔달구 효원로 241(인계동),팔달구 효원로 241(인계동),350,연중무휴,37.2634535000704,127.028662073932
5,시청정문,공영,부설,팔달구 효원로 241(인계동),팔달구 효원로 241(인계동),87,연중무휴,37.2634535000704,127.028662073932
6,영통구청,공영,부설,영통구 효원로 407(매탄동),영통구 효원로 407(매탄동),292,연중무휴,37.2595989418968,127.046507788766
7,화성박물관(팔달구청),공영,부설,팔달구 창룡대로 21,팔달구 창룡대로 21,368,연중무휴,37.2826748245276,127.019001910866
8,권선구청,공영,부설,권선구 호매실로 12,권선구 호매실로 12,258,연중무휴,37.2576341602533,126.971898464354
9,광교홍재도서관,공영,부설,영통구 대학로88,영통구 대학로88,53,연중무휴,37.3029355951196,127.047443129457
10,일월수목원,공영,부설,장안구 천천동 430,장안구 천천동 430,134,연중무휴,37.2879527412781,126.976438989189
11,꽃뫼환승,공영,환승,팔달구 화서동 689-19,팔달구 화서동 689-19,162,연중무휴,37.2854332151914,126.987362796096
12,성대환승(구),공영,환승,장안구 율전동 192-2,장안구 율전동 192-2,160,연중무휴,37.3009364643147,126.968830578581
13,성균관대역환승(신),공영,환승,장안구 율전동 301-1,장안구 율전동 301-1,191,연중무휴,37.3000865397723,126.970323135838
14,세류역환승,공영,환승,권선구 장지동 45-1,권선구 장지동 45-1,136,연중무휴,37.243224841106,127.014614546974
15,화서환승,공영,환승,팔달구 화서동 643,팔달구 화서동 643,290,연중무휴,37.2855400013838,126.99037672585
16,광교공영,공영,공원,장안구 하광교동 393-2,장안구 하광교동 393-2,360,연중무휴,37.3013914835067,127.03049387498
17,만석공원(만석5),공영,공원,장안구 송죽동 417-24,장안구 송죽동 417-24,104,연중무휴,37.2972053201255,126.999682734921
18,만석공원 제1,공영,공원,장안구 송죽동 286-1,장안구 송죽동 286-1,76,연중무휴,37.3016721143406,126.99882166218
19,만석공원 제2,공영,공원,장안구 송죽동 228,장안구 송죽동 228,61,연중무휴,37.3022921977922,127.001924585363
20,만석공원 제3,공영,공원,장안구 송죽동 318,장안구 송죽동 318,50,연중무휴,37.3009031519733,127.002368494684
21,만석공원 제4,공영,공원,장안구 송죽동 346-6,장안구 송죽동 346-6,43,연중무휴,37.299508745648,127.004236232656
22,매탄공원,공영,공원,영통구 매탄동 811,영통구 매탄동 811,222,연중무휴,37.2682219798913,127.045411827192
23,신대호수(제3주차장),공영,공원,영통구 하동 1008,영통구 하동 1008,245,연중무휴,37.2830840306791,127.075812629001
24,원천호수공원(제1주차장),공영,공원,영통구 하동 1024,영통구 하동 1024,396,연중무휴,37.280722846459,127.06589543886
25,행복한들(제2주차장),공영,공원,영통구 하동 1026-1,영통구 하동 1026-1,229,연중무휴,37.2819038809975,127.070362199902
26,권선지하,공영,주택가,권선구 권선동 980,권선구 권선동 980,66,연중무휴,37.2595582643917,127.018945712404
